dataset,dataset_label,row_metric,col_metric,correlation
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,pll_score,wer,0.9795480791641239
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,pll_score,cer,0.9039886785051743
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,pll_score,levenshtein,0.9136818483366848
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,wer,pll_score,0.9795480791641239
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,wer,wer,1.0
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,wer,cer,0.9535368713951383
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,wer,levenshtein,0.9548860061450747
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,cer,pll_score,0.9039886785051743
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,cer,wer,0.9535368713951383
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,cer,cer,1.0
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,cer,levenshtein,0.9976775454045145
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,levenshtein,pll_score,0.9136818483366848
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,levenshtein,wer,0.9548860061450747
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,levenshtein,cer,0.9976775454045145
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,levenshtein,levenshtein,1.0
