variant,variant_description,dataset,dataset_label,pages,rows,row_metric,col_metric,pearson_r
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,2,12,cer,levenshtein,0.9087204770002183
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,2,12,levenshtein,pll_score,0.7435784141642835
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,2,12,levenshtein,wer,0.662357603333227
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,2,12,levenshtein,cer,0.9087204770002183
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,2,12,levenshtein,levenshtein,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,2,14,pll_score,pll_score,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,2,14,pll_score,wer,0.06748009087596164
base_valid_all_pages,Base-valid rows before removing diagnostic pages,neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,2,14,pll_score,cer,-0.012949628374252899
base_valid_all_pages,Base-valid rows before removing diagnostic pages,neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,2,14,pll_score,levenshtein,0.05674435072317137
base_valid_all_pages,Base-valid rows before removing diagnostic pages,neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,2,14,wer,pll_score,0.06748009087596164
base_valid_all_pages,Base-valid rows before removing diagnostic pages,neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,2,14,wer,wer,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,2,14,wer,cer,0.901374574187829
base_valid_all_pages,Base-valid rows before removing diagnostic pages,neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,2,14,wer,levenshtein,0.9018203098829554
base_valid_all_pages,Base-valid rows before removing diagnostic pages,neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,2,14,cer,pll_score,-0.012949628374252899
base_valid_all_pages,Base-valid rows before removing diagnostic pages,neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,2,14,cer,wer,0.901374574187829
base_valid_all_pages,Base-valid rows before removing diagnostic pages,neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,2,14,cer,cer,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,2,14,cer,levenshtein,0.9955856776120089
base_valid_all_pages,Base-valid rows before removing diagnostic pages,neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,2,14,levenshtein,pll_score,0.05674435072317137
base_valid_all_pages,Base-valid rows before removing diagnostic pages,neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,2,14,levenshtein,wer,0.9018203098829554
base_valid_all_pages,Base-valid rows before removing diagnostic pages,neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,2,14,levenshtein,cer,0.9955856776120089
base_valid_all_pages,Base-valid rows before removing diagnostic pages,neubauer147amitaitanchuma2,Neubauer 147 Amitai Tanchuma 2,2,14,levenshtein,levenshtein,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,1,7,pll_score,pll_score,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,1,7,pll_score,wer,0.44196121765385227
base_valid_all_pages,Base-valid rows before removing diagnostic pages,oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,1,7,pll_score,cer,0.3192047500882294
base_valid_all_pages,Base-valid rows before removing diagnostic pages,oppaddfol3test2,Oppenheim Add. Fol. 3 test 2,1,7,pll_score,levenshtein,0.31623066631568236
